ACORDO_TIPO,PROTOCOLO_DATA,PROCESSO_ANATEL,DETENTORA,DETENTORA_CNPJ,SOLICITANTE,SOLICITANTE_CNPJ,INFORME_SEI,INFORME_DATA,CONCLUSAO_DATA,OBSERVACAO,NUM_SEQUENCIA,FINAL
CONTRATO,2013-06-12,48513.023648/2015-95,CELESC DISTRIBUIÇÃO S.A.,,SUL AMERICANA TECNOLOGIA E INFORMÁTICA LTDA.,,01/2016/CPRP/SCP,2016-01-08,2016-01-08,Processo ANEEL: 48513.023648/2015-00.,1,True
CONTRATO,2015-01-23,48526.000122/2015-98,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,T.C.A INFORMATICA LTDA.,,2452,2015-03-04,2015-03-09,"Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000139/2015-33. Despacho de homologação ANEEL: 1.175, de 22/04/15, publicado em 23/04/15.",1,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,COMFIBRA - PROVEDOR DE TELECOMUNICAÇÕES LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,2,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,3,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,ANTONIO MARCOS CRUZ & CIA LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000141/2015-11.,4,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,5,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,CLEBER ATAIDE PASTI & CIA LTDA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,6,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,KATIA LUANA DE FREITAS - INFORMÁTICA.,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,7,False
CONTRATO,2015-01-23,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,EMPIRE SERVIÇOS DE INTERNET EIRELI,,2452,2015-03-04,2015-03-09,Processo Aditivo: 48526.000122/2015. Processo ANEEL: 48500.000140/2015-68.,8,False
TERMO ADITIVO 1,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,9,False
TERMO ADITIVO 2,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,10,False
TERMO ADITIVO 3,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,11,False
TERMO ADITIVO 4,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,QNET TELECOM LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,12,False
TERMO ADITIVO 2,2015-08-05,48526.000122/2015-98,COPEL DISTRIBUIÇÃO S.A.,,E. NOVA TELECOM (ANTONIO MARCOS CRUZ & CIA LTDA - ME),,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000140/2015-68.,13,True
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,ALGAR MULTIMÍDIA S/A,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,1,False
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S/A - EMBRATEL,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,2,False
CONTRATO,2015-01-28,48526.000180/2015-11,BANDEIRANTE ENERGIA S.A.,,REDFOX TELECOMUNICAÇÕES LTDA,,1891,2015-03-04,2015-03-09,Processo Aditivo: 48526.000180/2015. Processo ANEEL: 48500.000277/2015-12.,3,True
CONTRATO,2015-01-28,48526.000190/2015-57,AMPLA ENERGIA E SERVIÇOS S.A.,33.050.071/0001-58,TIM CELULAR S.A.,,128,2015-07-09,2015-07-09,Processo ANEEL: 48500.000281/2015-81.,1,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,G. L. DUARTE MULTIMÍDIA LTDA.,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,2,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,INTER-HOME SOLUÇÕES EM INFORMÁTICA LTDA. ME,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,3,False
CONTRATO,2015-01-28,48526.000190/2015-57,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,M&M MATTOS SERVIÇO DE TELECOMUNICAÇÕES LTDA. ME,,127,2015-07-09,2015-07-09,Processo ANEEL: 48500.000278/2015-67.,4,True
CONTRATO,2015-02-06,48526.000224/2015-11,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,MULTITEL COMUNICAÇÕES LTDA.,,35330,2015-09-10,2015-09-10,Processo Aditivo: 48526.000224/2015. Processo ANEEL: 48500.000328/2015-14.,1,True
CONTRATO,2015-02-11,48526.000272/2015-00,COMPANHIA JAGUARI DE ENERGIA,53.859.112/0001-69,AVVIO SOLUÇÕES EM TELECOMUNICAÇÕES E INFORMÁTICA LTDA.,,36039,2015-09-10,2015-09-09,Processo Aditivo: 485260002722015. Processo ANEEL: 48500.006387/2014-15.,1,False
CARTA DA ANEEL,2015-06-29,48526.000272/2015-00,COMPANHIA JAGUARI DE ENERGIA,53.859.112/0001-69,AVVIO SOLUÇÕES EM TELECOMUNICAÇÕES E INFORMÁTICA LTDA.,,36039,2015-09-10,2015-09-09,Processo Aditivo: 53500.202282/2015-06. Processo ANEEL: 48500.006387/2014-15.,2,True
CONTRATO,2015-02-11,48526.000273/2015-46,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,BRASREDE TELECOMUNICAÇÕES LTDA,,15850,2015-07-09,2015-07-09,Processo Aditivo: 48526.000273/2015. Processo ANEEL: 48500.000480/2015-99.,1,False
CONTRATO,2015-02-11,48526.000273/2015-46,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,ANDRES REFATTE CHEGUHEN EIRELI - ME,,15850,2015-07-09,2015-07-09,Processo Aditivo: 48526.000273/2015. Processo ANEEL: 48500.000480/2015-99.,2,False
CONTRATO,2015-02-11,48526.000273/2015-46,AES SUL DISTRIBUIDORA GAÚCHA DE ENERGIA S.A.,,I9 PROVEDOR DE INTERNET LTDA - ME,,15850,2015-07-09,2015-07-09,Processo Aditivo: 48526.000273/2015. Processo ANEEL: 48500.000480/2015-99.,3,True
CONTRATO,2015-02-19,48526.000322/2015-41,COPEL DISTRIBUIÇÃO S.A.,,F1 NET LTDA - ME,,15342,2015-07-09,2015-07-09,Processo Aditivo: 48526.000322/2015. Processo ANEEL: 48500.000597/2015-72.,1,False
CONTRATO,2015-02-19,48526.000322/2015-41,COPEL DISTRIBUIÇÃO S.A.,,RODRIGO BORGHI DA SILVA & CIA LTDA.,,15342,2015-07-09,2015-07-09,Processo Aditivo: 48526.000322/2015. Processo ANEEL: 48500.000597/2015-72.,2,False
CONTRATO,2015-02-19,48526.000322/2015-41,COPEL DISTRIBUIÇÃO S.A.,,BAÚ & DORL LTDA - ME,,15342,2015-07-09,2015-07-09,Processo Aditivo: 48526.000322/2015. Processo ANEEL: 48500.000597/2015-72.,3,True
CONTRATO,2015-03-05,48526.000447/2015-71,DME DISTRIBUIÇÃO S.A.,,CENTER PRESTADORA DE SERVIÇOS LTDA,,44628,2015-09-24,2015-09-24,Processo Aditivo: 485260004472015. Processo ANEEL: 48500.000866/2015-09.,1,True
CONTRATO,2015-03-12,48526.000567/2015-78,LIGHT SERVIÇOS DE ELETRICIDADE S.A,60.444.437/0001-46,BRIP MULTIMÍDIA LTDA,,36486,2015-09-10,2015-09-10,Processo Aditivo: 485260005672015. Processo ANEEL: 48500.000959/2015-25.,1,True
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,CARVALHO E SILVA LTDA-ME,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,1,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,EG-TV LTDA,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,2,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,GLOBAL VILLAGE TELLECOM S.A.,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,3,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,KONECTIVA TELECOMUNICAÇÕES,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,4,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,NETPEU TECNOLOGIA E INTERNET,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,5,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,REDE BRASIL NETWORKS LTDA-ME,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,6,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,REDE MINAS TELECOM LTDA-ME,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,7,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,RENARD MENDES BATISTA-ME,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,8,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,TELECOMUNICAÇÕES MINAS MAIS,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,9,False
CONTRATO,2015-03-24,48526.000663/2015-16,CEMIG DISTRIBUIÇÃO S.A.,,WILKENS ASSUNÇÃO COSTA-ME,,10246,2015-05-25,2015-05-25,Processo Aditivo: 48526.000663/2015. Processo ANEEL: 48500.001057/2015-14.,10,True
CONTRATO,2015-03-24,48526.000665/2015-13,EMPRESA DE DISTRIBUIÇÃO DE ENERGIA DO VALE DO PARANAPANEMA S.A.,,G.R. SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA - ME,,42752,2015-09-21,2015-09-21,Processo Aditivo: 48526.000665/2015. Processo ANEEL: 48500.001058/2015-51.,1,True
CONTRATO,2015-03-26,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,RADINS TECNOLOGIA LTDA - ME,,16365,2015-07-09,2015-07-09,Processo Aditivo: 48526.000719/2015. Processo ANEEL: 48500.000989/2015-31.,1,False
CONTRATO,2015-03-26,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,OPÇÃONET INFORMÁTICA LTDA,,16365,2015-07-09,2015-07-09,Processo Aditivo: 48526.000719/2015. Processo ANEEL: 48500.000989/2015-31.,2,False
CONTRATO,2015-03-26,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,ADRIANO TELECOMUNICAÇÕES LTDA - ME,,16365,2015-07-09,2015-07-09,Processo Aditivo: 48526.000719/2015. Processo ANEEL: 48500.000989/2015-31.,3,False
CONTRATO,2015-03-26,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,EJW TELECOMUNICAÇÕES LTDA,,16365,2015-07-09,2015-07-09,Processo Aditivo: 48526.000719/2015. Processo ANEEL: 48500.000989/2015-31.,4,False
CONTRATO,2015-03-26,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,GILMAR DOS SANTOS & CIA LTDA,,16365,2015-07-09,2015-07-09,Processo Aditivo: 48526.000719/2015. Processo ANEEL: 48500.000989/2015-31.,5,False
TERMO ADITIVO 1,2015-08-05,48526.000719/2015-32,COPEL DISTRIBUIÇÃO S.A.,,ADRIANO TELECOMUNICAÇÕES LTDA - ME,,133739,2016-01-12,2016-01-12,Processo Aditivo: 53500.203147/2015-70. Processo ANEEL: 48500.000989/2015-31.,6,True
CONTRATO,2015-03-26,48526.000739/2015-11,EMPRESA DE DISTRIBUIÇÃO DE ENERGIA DO VALE DO PARANAPANEMA S.A.,,GLOBAL NET PLUS TELECOMUNICAÇÕES LTDA - ME,,42794,2015-09-21,2015-09-21,Processo Aditivo: 48526.000739/2015. Processo ANEEL: 48500.001092/2015-25.,1,False
CONTRATO,2015-03-26,48526.000739/2015-11,EMPRESA DE DISTRIBUIÇÃO DE ENERGIA DO VALE DO PARANAPANEMA S.A.,,R.V. PROVEDOR DE INTERNET LTDA - ME,,42794,2015-09-21,2015-09-21,Processo Aditivo: 48526.000739/2015. Processo ANEEL: 48500.001092/2015-26.,2,True
CONTRATO,2015-03-26,48526.000740/2015-38,COMPANHIA NACIONAL DE ENERGIA ELÉTRICA,61.416.244/0001-44,ALGAR MULTIMÍDIA S/A,,41291,2015-09-10,2015-09-10,Processo Aditivo: 48526.000740/2015. Processo ANEEL: 48500.001093/2015-70.,1,True
CONTRATO,2015-04-06,48526.000775/2015-77,CAIUÁ - DISTRIBUIÇÃO DE ENERGIA S.A.,,PLINIO HONÓRIO SARTORI - ME,,36332,2015-09-10,2015-09-10,Processo ANEEL: 48500.001236/2015-43.,1,True
CONTRATO,2015-04-06,48526.000832/2015-18,AMPLA ENERGIA E SERVIÇOS S.A.,33.050.071/0001-58,CLARO S.A.,,35764,2015-09-10,2015-09-10,Processo ANEEL: 48500.001315/2015-54.,1,True
CONTRATO,2015-04-29,48526.001062/2015-21,CELG DISTRIBUIÇÃO S.A - CELG D,,TELGO TELECOMUNICAÇÕES GOIÁS LTDA,,43014,2015-09-24,2015-09-24,Processo ANEEL: 48500.001726/2015-40.,1,False
CONTRATO,2015-04-29,48526.001062/2015-21,CELG DISTRIBUIÇÃO S.A - CELG D,,G8 NETWORKS LTDA,,43014,2015-09-24,2015-09-24,Processo ANEEL: 48500.001726/2015-40.,2,True
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,BROTHER'S LAN HOUSE LTDA,,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,W. J. INTERNET SERVIÇOS DE COMUNICAÇÃO LTDA,14.554.749/0001-95,13307345,2025-02-21,2025-02-21,,2,False
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,MAILBOX INTERNET E TELECOMUNICAÇÕES LTDA,16.632.321/0001-49,13307345,2025-02-21,2025-02-21,,3,False
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,ROX TELECOM LTDA,24.414.811/0001-05,13307345,2025-02-21,2025-02-21,,4,False
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,WAVE CONNECT TELECOMUNICAÇÕES LTDA,10.858.096/0001-87,13307345,2025-02-21,2025-02-21,,5,False
CONTRATO,2025-01-02,53500.000131/2025-89,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S. A.,61.695.227/0001-93,Z6 TELECOM LTDA,39.742.587/0001-40,13307345,2025-02-21,2025-02-21,,6,True
CONTRATO,2025-01-02,53500.000134/2025-12,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,,NET INFOR TELECOM LTDA,18.990.769/0001-60,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000134/2025-12,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,,M2NET TELECOMUNICAÇÕES DO NORDESTE LTDA,26.743.347/0001-18,13307345,2025-02-21,2025-02-21,,2,True
CONTRATO,2025-01-02,53500.000165/2025-73,COMPANHIA PAULISTA DE FORÇA E LUZ - CPFL (MATRIZ),33.050.196/0001-88,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,,13307345,2025-02-21,2025-02-21,,1,True
CONTRATO,2025-01-02,53500.000167/2025-62,COMPANHIA PAULISTA DE FORÇA E LUZ - CPFL (MATRIZ),33.050.196/0001-88,LUAN VENARUSSO BOTURA (DIGITAL PROVEDOR DE INTERNET),12.412.023/0001-92,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000167/2025-62,COMPANHIA PAULISTA DE FORÇA E LUZ - CPFL (MATRIZ),33.050.196/0001-88,ELETRÔNICA & INFORMÁTICA NOSSA SENHORA APARECIDA DE QUATA LTDA,,13307345,2025-02-21,2025-02-21,,2,False
CONTRATO,2025-01-02,53500.000167/2025-62,COMPANHIA PAULISTA DE FORÇA E LUZ - CPFL (MATRIZ),33.050.196/0001-88,VELONET TELECOMUNICAÇÕES LTDA,51.388.673/0001-00,13307345,2025-02-21,2025-02-21,,3,False
CONTRATO,2025-01-02,53500.000167/2025-62,COMPANHIA PAULISTA DE FORÇA E LUZ - CPFL (MATRIZ),33.050.196/0001-88,ZM SERVIÇOS EM TELEFONIA LTDA,27.782.600/0001-05,13307345,2025-02-21,2025-02-21,,4,True
CONTRATO,2025-01-02,53500.000172/2025-75,COMPANHIA PIRATININGA DE FORÇA E LUZ - CPFL,,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,,13307345,2025-02-21,2025-02-21,,1,True
CONTRATO,2025-01-02,53500.000176/2025-53,COMPANHIA PIRATININGA DE FORÇA E LUZ - CPFL,,VMX DIGITAL DO BRASIL LTDA,,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000176/2025-53,COMPANHIA PIRATININGA DE FORÇA E LUZ - CPFL,,CD ONE CORPORATION DO BRASIL LTDA,,13307345,2025-02-21,2025-02-21,,2,True
CONTRATO,2025-01-02,53500.000177/2025-06,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,,RVT SERVIÇOS DE TELECOMUNICAÇÕES LTDA (SIM.DIGITAL),29.911.764/0001-10,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000177/2025-06,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,,13307345,2025-02-21,2025-02-21,,2,True
CONTRATO,2025-01-02,53500.000179/2025-97,COMPANHIA JAGUARI DE ENERGIA - CPFL,53.859.112/0001-69,ONE CLICK TELECOM LTDA,57.846.319/0001-50,13307345,2025-02-21,2025-02-21,,1,False
CONTRATO,2025-01-02,53500.000179/2025-97,COMPANHIA JAGUARI DE ENERGIA - CPFL,53.859.112/0001-69,V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,,13307345,2025-02-21,2025-02-21,,2,True
TERMO ADITIVO 1,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,1,False
TERMO ADITIVO 2,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,2,False
TERMO ADITIVO 3,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,3,False
TERMO ADITIVO 4,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,4,False
TERMO ADITIVO 5,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,5,False
TERMO ADITIVO 6,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,DIRECT WIFI TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,6,False
TERMO ADITIVO 1,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,G5 NET INTERNET DIGITAL LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,7,False
TERMO ADITIVO 1,2016-01-06,53500.000222/2016-23,COPEL DISTRIBUIÇÃO S.A.,,MEGA REDES TELECOM LTDA - ME,,,2016-03-08,2016-03-08,Processo Aditivo: 53500.000222/2016-23.,8,True
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,BR MASTER PROVEDOR DE INTERNET LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,1,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,BRSULNET TELECOM LTDA - EPP,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,2,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,CONECTNET TELECOMUNICAÇÕES LTDA.,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,3,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,CZNET TELECOM LTDA - EPP,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,4,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,DMI PROVEDOR DE INTERNET LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,5,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,ESPAÇO LIVRE INFORMÁTICA LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,6,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,FUHR & FELTES LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,7,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,G7 TELECOM LTDA - EPP,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,8,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,INFORMÁTICA ITAPIRANGA LTDA,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,9,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,LOG INFORMÁTICA LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,10,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,MARISA C. K. MARTINS - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,11,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,PARANHANANET LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,12,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,PORTAL - PROVEDOR DE COMUNICAÇÕES LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,13,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,RASCHE & STEFENON LTDA,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,14,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,ROUTERNET PROVEDOR DE ACESSO LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,15,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,SANTOS & FEL WIRELESS E INFORMÁTICA LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,16,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,T.C.A. INFORMÁTICA LTDA - EPP,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,17,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,THAINA SCHUMACHER - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,18,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,TOEBE & BORTOLI LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,19,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,VCG GIRARDI INFORMÁTICA LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,20,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,VIA TEC WIRELESS TECNOLOGIA LTDA - ME,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,21,False
CONTRATO,2017-01-04,53500.000228/2017-81,RIO GRANDE ENERGIA S.A - RGE,,VISÃO INFORMÁTICA & TELECOMUNICAÇÕES EIRELI,,1100999,2017-01-16,2017-01-16,Processo ANEEL: 48513.032911/2016-00.,22,False
