PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;SERVICO_1;MODALIDADE_STFC_1;PRESTADORA_2_CNPJ;PRESTADORA_2;SERVICO_2;MODALIDADE_STFC_2;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.028940/2006-92;26/10/2006;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;-1;06/10/2014;06/10/2014;Classe: IV. Localização: ARQUIVO GERAL.
53500.004342/2007-17;14/02/2007;CONTRATO;02449992000164;VIVO S.A.;010;;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;47;05/08/2015;19/08/2015;Classe: IV. Localização: ESTAÇÃO.
53500.021964/2008-82;14/08/2008;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;3;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.004720/2009-16;04/03/2009;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;2;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.007610/2009-14;19/03/2009;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;01009876000161;AGERA TELECOMUNICAÇÕES S.A.;020;;4998;26/09/2014;29/09/2014;Classe: IV. Localização: ESTAÇÃO.
53500.009336/2009-18;16/04/2009;NÃO INFORMADO;04206050000180;TIM CELULAR S.A.;010;;05958690000100;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;010;;1;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL.
53500.006110/2004-42;02/12/2009;NÃO INFORMADO;40432544000147;CLARO S.A.;010;;71208516000174;ALGAR TELECOM S/A;010;;4038;13/08/2013;15/08/2013;Classe: IV. Localização: ESTAÇÃO.
53500.026931/2010-43;19/10/2010;CONTRATO;02449992000164;VIVO S.A.;010;;81681207000170;SUPERCHIP TELECOMUNICACOES LTDA;020;;3583;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO.
53500.027611/2010-19;28/10/2010;ADITIVO;71208516000174;ALGAR TELECOM S/A;010;;02449992000164;VIVO S.A.;010;;3593;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LDN;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.028794/2011-62;21/12/2011;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;08868001000164;HOJE SISTEMAS DE INFORMATICA -EM RECUPERAÇÃO JUDICIAL;171;LOCAL;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LDI;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LDN;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDI;02558157000162;Telefonica Brasil S.a.;171;LOCAL;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDN;02558157000162;Telefonica Brasil S.a.;171;LDI;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDN;02558157000162;Telefonica Brasil S.a.;171;LDN;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LDN;02558157000162;Telefonica Brasil S.a.;171;LOCAL;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LOCAL;02558157000162;Telefonica Brasil S.a.;171;LDI;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LOCAL;02558157000162;Telefonica Brasil S.a.;171;LDN;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.016955/2007-99;09/01/2012;CONTRATO;04533132000130;CONECTA TELECOMUNICACOES S.A.;171;LOCAL;02558157000162;Telefonica Brasil S.a.;171;LOCAL;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL.
53500.005208/2012-92;06/03/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;13114336000127;PORTO VELHO TELECOMUNICAÇÕES LTDA;171;LOCAL;3322;24/06/2013;02/07/2013;Classe: I-782. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDI;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDN;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LOCAL;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDI;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDN;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LOCAL;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDI;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDN;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.005631/2012-92;08/03/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LOCAL;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDI;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDN;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LOCAL;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDI;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDN;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LOCAL;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDI;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDN;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.010213/2012-17;07/05/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LOCAL;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL.
53500.011875/2012-12;23/05/2012;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;010;;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDI;6469;26/11/2014;26/11/2014;Classe: II-607. Localização: ESTAÇÃO.
53500.011875/2012-12;23/05/2012;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;010;;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LDN;6469;26/11/2014;26/11/2014;Classe: II-607. Localização: ESTAÇÃO.
53500.011875/2012-12;23/05/2012;NÃO INFORMADO;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;010;;03420926000124;GLOBAL VILLAGE TELECOM LTDA;171;LOCAL;6469;26/11/2014;26/11/2014;Classe: II-607. Localização: ESTAÇÃO.
53500.014327/2012-36;02/07/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDI;3320;24/06/2013;02/07/2013;Classe: I-849. Localização: ARQUIVO SETORIAL.
53500.014327/2012-36;02/07/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDN;3320;24/06/2013;02/07/2013;Classe: I-849. Localização: ARQUIVO SETORIAL.
53500.015740/2012-18;12/07/2012;ADITIVO;02449992000164;VIVO S.A.;010;;10552549000142;LAFAIETE PROVEDOR DE INTERNET E TELECOMUNICAÇÕES LTDA - EPP;171;LDI;3476;09/07/2013;10/07/2013;Classe: II-617. Localização: SCP/NÚCLEO.
53500.015740/2012-18;12/07/2012;ADITIVO;02449992000164;VIVO S.A.;010;;10552549000142;LAFAIETE PROVEDOR DE INTERNET E TELECOMUNICAÇÕES LTDA - EPP;171;LDN;3476;09/07/2013;10/07/2013;Classe: II-617. Localização: SCP/NÚCLEO.
53500.015740/2012-18;12/07/2012;ADITIVO;02449992000164;VIVO S.A.;010;;10552549000142;LAFAIETE PROVEDOR DE INTERNET E TELECOMUNICAÇÕES LTDA - EPP;171;LOCAL;3476;09/07/2013;10/07/2013;Classe: II-617. Localização: SCP/NÚCLEO.
53500.001250/2006-96;23/07/2012;ADITIVO;71208516000174;ALGAR TELECOM S/A;171;LDI;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;5064;17/10/2013;18/10/2013;Classe: II-299. Localização: ESTAÇÃO.
53500.001250/2006-96;23/07/2012;ADITIVO;71208516000174;ALGAR TELECOM S/A;171;LDN;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;5064;17/10/2013;18/10/2013;Classe: II-299. Localização: ESTAÇÃO.
53500.001250/2006-96;23/07/2012;ADITIVO;71208516000174;ALGAR TELECOM S/A;171;LOCAL;66970229000167;CLARO NXT TELECOMUNICACOES LTDA;020;;5064;17/10/2013;18/10/2013;Classe: II-299. Localização: ESTAÇÃO.
53500.017032/2012-11;31/07/2012;NÃO INFORMADO;05423963000111;OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL;010;;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDI;3246;14/06/2013;18/06/2013;Classe: II-620. Localização: ARQUIVO SETORIAL.
53500.017032/2012-11;31/07/2012;NÃO INFORMADO;05423963000111;OI MÓVEL S.A. - EM RECUPERAÇÃO JUDICIAL;010;;09446842000146;HIT TELECOMUNICACOES LTDA.;171;LDN;3246;14/06/2013;18/06/2013;Classe: II-620. Localização: ARQUIVO SETORIAL.
53500.031573/2012-52;30/08/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;14052580000175;AVA TELECOMUNICAÇÕES LTDA;171;LDI;3474;09/07/2013;11/07/2013;Classe: II-641.
53500.031573/2012-52;30/08/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;14052580000175;AVA TELECOMUNICAÇÕES LTDA;171;LDN;3474;09/07/2013;11/07/2013;Classe: II-641.
53500.031573/2012-52;30/08/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;14052580000175;AVA TELECOMUNICAÇÕES LTDA;171;LOCAL;3474;09/07/2013;11/07/2013;Classe: II-641.
53500.020628/2012-07;13/09/2012;NÃO INFORMADO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;06128103000118;VIPWAY TELECOMUNICAÇÕES LTDA;171;LOCAL;2749;25/04/2013;17/05/2013;Classe: I-870. Localização: ARQUIVO SETORIAL.
53500.021111/2012-27;13/09/2012;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDI;06128103000118;VIPWAY TELECOMUNICAÇÕES LTDA;171;LOCAL;3591;16/07/2013;18/07/2013;Classe: I. Localização: SCP/NÚCLEO.
53500.021111/2012-27;13/09/2012;CONTRATO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LDN;06128103000118;VIPWAY TELECOMUNICAÇÕES LTDA;171;LOCAL;3591;16/07/2013;18/07/2013;Classe: I. Localização: SCP/NÚCLEO.
53500.021108/2012-11;21/09/2012;NÃO INFORMADO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;06128103000118;VIPWAY TELECOMUNICAÇÕES LTDA;171;LDI;2750;25/04/2013;17/05/2013;Classe: I-872. Localização: ARQUIVO SETORIAL.
53500.021108/2012-11;21/09/2012;NÃO INFORMADO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;06128103000118;VIPWAY TELECOMUNICAÇÕES LTDA;171;LDN;2750;25/04/2013;17/05/2013;Classe: I-872. Localização: ARQUIVO SETORIAL.
53500.022789/2012-27;04/10/2012;ADITIVO;02449992000164;VIVO S.A.;010;;11400830000122;ENCANTO TELECOM COMERCIO E SERVIÇOS EM TELECOMUNICAÇÕES LTDA - EPP;171;LDI;3465;09/07/2013;10/07/2013;Classe: II-628. Localização: ARQUIVO SETORIAL.
53500.022789/2012-27;04/10/2012;ADITIVO;02449992000164;VIVO S.A.;010;;11400830000122;ENCANTO TELECOM COMERCIO E SERVIÇOS EM TELECOMUNICAÇÕES LTDA - EPP;171;LDN;3465;09/07/2013;10/07/2013;Classe: II-628. Localização: ARQUIVO SETORIAL.
53500.022789/2012-27;04/10/2012;ADITIVO;02449992000164;VIVO S.A.;010;;11400830000122;ENCANTO TELECOM COMERCIO E SERVIÇOS EM TELECOMUNICAÇÕES LTDA - EPP;171;LOCAL;3465;09/07/2013;10/07/2013;Classe: II-628. Localização: ARQUIVO SETORIAL.
53500.023658/2012-67;19/10/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;1805;14/03/2013;17/05/2013;Classe: II-650. Localização: ARQUIVO SETORIAL.
53500.023658/2012-67;19/10/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;1805;14/03/2013;17/05/2013;Classe: II-650. Localização: ARQUIVO SETORIAL.
53500.023658/2012-67;19/10/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;1805;14/03/2013;17/05/2013;Classe: II-650. Localização: ARQUIVO SETORIAL.
53500.024600/2012-31;19/10/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;39495486000111;DATORA TELECOMUNICACOES LTDA;171;LDI;3461;09/07/2013;10/07/2013;Classe: II-629. Localização: ARQUIVO SETORIAL.
53500.024600/2012-31;19/10/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;39495486000111;DATORA TELECOMUNICACOES LTDA;171;LDN;3461;09/07/2013;10/07/2013;Classe: II-629. Localização: ARQUIVO SETORIAL.
53500.024600/2012-31;19/10/2012;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;39495486000111;DATORA TELECOMUNICACOES LTDA;171;LOCAL;3461;09/07/2013;10/07/2013;Classe: II-629. Localização: ARQUIVO SETORIAL.
53500.025258/2012-96;01/11/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LDI;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;2088;27/03/2013;17/05/2013;Classe: II-630. Localização: ARQUIVO SETORIAL.
53500.025258/2012-96;01/11/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LDN;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;2088;27/03/2013;17/05/2013;Classe: II-630. Localização: ARQUIVO SETORIAL.
53500.025851/2012-32;08/11/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;39495486000111;DATORA TELECOMUNICACOES LTDA;010;;2158;02/04/2013;17/05/2013;Classe: II-632. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDI;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDI;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDI;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDN;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDI;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LOCAL;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDN;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDI;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDN;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDN;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LDN;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LOCAL;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LOCAL;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDI;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LOCAL;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LDN;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.031100/2012-55;13/12/2012;NÃO INFORMADO;71208516000174;ALGAR TELECOM S/A;171;LOCAL;05236051000211;OPCAONET INFORMATICA LTDA - EPP;171;LOCAL;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL.
53500.030459/2012-13;13/12/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;04206050000180;TIM CELULAR S.A.;010;;3628;18/07/2013;19/07/2013;Classe: II-640.
53500.030459/2012-13;13/12/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;04206050000180;TIM CELULAR S.A.;010;;3628;18/07/2013;19/07/2013;Classe: II-640.
53500.030459/2012-13;13/12/2012;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LOCAL;04206050000180;TIM CELULAR S.A.;010;;3628;18/07/2013;19/07/2013;Classe: II-640.
53500.031695/2012-49;21/12/2012;NÃO INFORMADO;76535764000143;Oi S.a. - em Recuperacao Judicial;171;LOCAL;12488125000191;ONE TELECOM TELECOMUNICAÇÕES LTDA;171;LOCAL;3485;10/07/2013;11/07/2013;Classe: I-909. Localização: ARQUIVO SETORIAL.
53500.000182/2013-77;28/12/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LDI;08170849000115;Desktop S.A;171;LOCAL;1803;14/03/2013;17/05/2013;Classe: I-911. Localização: ARQUIVO SETORIAL.
53500.000182/2013-77;28/12/2012;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LDN;08170849000115;Desktop S.A;171;LOCAL;1803;14/03/2013;17/05/2013;Classe: I-911. Localização: ARQUIVO SETORIAL.
53500.000465/2013-19;02/01/2013;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LDI;2085;27/03/2013;17/05/2013;Classe: II-642. Localização: ARQUIVO SETORIAL.
53500.000465/2013-19;02/01/2013;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LDN;2085;27/03/2013;17/05/2013;Classe: II-642. Localização: ARQUIVO SETORIAL.
53500.000465/2013-19;02/01/2013;NÃO INFORMADO;02449992000164;VIVO S.A.;010;;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LOCAL;2085;27/03/2013;17/05/2013;Classe: II-642. Localização: ARQUIVO SETORIAL.
53500.000742/2013-93;03/01/2013;NÃO INFORMADO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;12538334000100;VIAFIBRA TELECOMUNICACOES LTDA;171;LOCAL;1988;21/03/2013;17/05/2013;Classe: I-914. Localização: ARQUIVO SETORIAL.
53500.001247/2013-00;08/01/2013;CONTRATO;33530486000129;EMPRESA BRASILEIRA DE TELECOMUNICACOES S. A.;171;LOCAL;11400830000122;ENCANTO TELECOM COMERCIO E SERVIÇOS EM TELECOMUNICAÇÕES LTDA - EPP;171;LOCAL;4034;13/08/2013;15/08/2013;Classe: I-915.
53500.000744/2013-82;09/01/2013;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LDI;1987;21/03/2013;17/05/2013;Classe: I-912. Localização: ARQUIVO SETORIAL.
53500.000744/2013-82;09/01/2013;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LDN;1987;21/03/2013;17/05/2013;Classe: I-912. Localização: ARQUIVO SETORIAL.
53500.000744/2013-82;09/01/2013;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDI;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LOCAL;1987;21/03/2013;17/05/2013;Classe: I-912. Localização: ARQUIVO SETORIAL.
53500.000744/2013-82;09/01/2013;NÃO INFORMADO;02558157000162;Telefonica Brasil S.a.;171;LDN;09177971000186;AUE PROVEDOR DE INTERNET LTDA;171;LDI;1987;21/03/2013;17/05/2013;Classe: I-912. Localização: ARQUIVO SETORIAL.
