ACORDO_TIPO;PROTOCOLO_DATA;PROCESSO_ANATEL;PRESTADORA_ORIGEM;PRESTADORA_ORIGEM_CNPJ;CREDENCIADA;CREDENCIADA_CNPJ;VIGENCIA_DATA_FIM;PROCESSO_DESCREDENCIAMENTO;OBSERVACAO;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA
CONTRATO;07/01/2015;53500.000262/2015-94;Telefonica Brasil S.a.;02558157000162;Mais AD Credenciada de Telefonia S.A.;17751901000118;07/04/2020;53500.000262/2015-94;Publicação no DOU.;00201590015890;30/01/2015;30/01/2015
CONTRATO;14/03/2016;53504.001925/2016-39;Datora Mobile Telecomunicacoes S.a.;18384930000151;BT Brasil Serviços de Telecomunicações Ltda. (BT Brasil);33179565000137;VIGENTE;;Não identificado;00000000588202;20/07/2016;20/07/2016
CONTRATO;23/03/2016;53500.004886/2016-61;SURF TELECOM SA;10455746000143;Always Tecnologia Ltda. (Igreja da Fé);69190577000100;21/07/2017;;Não identificado;00000000591183;20/07/2016;20/07/2016
CONTRATO;23/03/2016;53500.006148/2016-59;SURF TELECOM SA;10455746000143;Lanis Redes e Consultoria Ltda. (Lanis);09526734000183;25/01/2019;53500.006148/2016-59;De acordo com a coorespondência SEI nº 3754922.;00000000680889;24/08/2016;24/08/2016
CONTRATO;24/06/2016;53500.015283/2016-95;SURF TELECOM SA;10455746000143;Empresa Brasileira de Correios e Telégrafos (Correios);34028316000103;VIGENTE;;Não identificado;00000000930841;17/11/2016;17/11/2016
CONTRATO;11/07/2016;53500.016901/2016-14;SURF TELECOM SA;10455746000143;Yes do Brasil Telecom Ltda. (YES);24604838000152;08/11/2018;53500.016901/2016-14;De acordo com comunicado SEI nº 3457474.;00000000730546;15/09/2016;15/09/2016
CONTRATO;26/01/2017;53504.000883/2017-08;SURF TELECOM SA;10455746000143;Eseye do Brasil Tecnologia da Informação Ltda;13890755000150;VIGENTE;;Não identificado;00000001882694;22/09/2017;22/09/2017
ADITIVO;23/05/2017;53500.000262/2015-94;Telefonica Brasil S.a.;02558157000162;Mais AD Credenciada de Telefonia S.A.;17751901000118;07/04/2020;53500.000262/2015-94;1º Aditivo;00000001927446;09/11/2017;09/11/2017
CONTRATO;12/06/2017;53500.060891/2017-35;CLARO S.A.;40432544000147;DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS BRASIL LTDA;04501314000129;VIGENTE;;Contrato e 1º Aditivo;00000001882363;22/09/2017;22/09/2017
CONTRATO;28/07/2017;53504.008572/2017-89;Telefonica Brasil S.a.;02558157000162;Brisanet Serviços de Telecomunicações Ltda;04601397000128;VIGENTE;;Não identificado;00000001973889;10/11/2017;10/11/2017
CONTRATO;02/08/2017;53500.066856/2017-20;SURF TELECOM SA;10455746000143;Waves Retransmissão e Comunicação Ltda;03444849000142;16/08/2021;53500.066856/2017-20;De acordo com comunicado SEI nº 7266940.;00000001882891;22/09/2017;22/09/2017
CONTRATO;08/08/2017;53500.067529/2017-95;SURF TELECOM SA;10455746000143;GRÊMIO OSASCO AUDAX ESPORTE CLUBE;55295604000102;VIGENTE;;Não identificado;00000002423053;28/02/2018;28/02/2018
CONTRATO;04/09/2017;53500.071195/2017-54;SURF TELECOM SA;10455746000143;Level 3 Comunicações do Brasil LTDA;72843212000141;VIGENTE;;Não identificado;00000002526766;14/05/2018;14/05/2018
CONTRATO;22/11/2017;53504.016428/2017-16;Datora Mobile Telecomunicacoes S.a.;18384930000151;Fonelight Telecomunicações S/A;02089242000129;VIGENTE;;Não identificado;00000002263762;26/01/2018;26/01/2018
CONTRATO;14/12/2017;53504.019121/2017-77;SURF TELECOM SA;10455746000143;Fama Serviços Tecnologia da Informação Ltda;28490744000150;VIGENTE;;Não identificado;00000002645582;06/07/2018;06/07/2018
CONTRATO;11/06/2018;53504.007683/2018-59;SURF TELECOM SA;10455746000143;Magazine Luiza S.A.;47960950000121;18/06/2021;53504.007683/2018-59;De acordo com comunicado SEI nº 7040774.;00000003040905;10/08/2018;10/08/2018
CONTRATO;11/06/2018;53504.007684/2018-01;SURF TELECOM SA;10455746000143;Algar Telecom S.A.;71208516000174;VIGENTE;;Não identificado;00000003039431;10/08/2018;10/08/2018
CONTRATO;11/12/2018;53500.056152/2018-20;Telefonica Brasil S.a.;02558157000162;Fique Móvel Serviços de Telecomunicações;37450669000195;VIGENTE;;Não identificado;00000003837076;12/03/2019;12/03/2019
CONTRATO;08/04/2019;53500.013513/2019-24;Datora Mobile Telecomunicacoes S.a.;18384930000151;1Telecom Serviços de Tecnologia em Internet LTDA;11844663000109;VIGENTE;;Não identificado;00000004276603;02/07/2019;02/07/2019
CONTRATO;02/05/2019;53500.017208/2019-10;Datora Mobile Telecomunicacoes S.a.;18384930000151;ONI TELECOM SERVIÇOS E COMÉRCIO LTDA;32196605000196;VIGENTE;;Não identificado;00000004276806;02/07/2019;02/07/2019
CONTRATO;07/06/2019;53500.022777/2019-79;SURF TELECOM SA;10455746000143;Dry Company do Brasil Comércio e Tecnologia LTDA (Dry Steam);15564295000104;26/03/2021;53500.022777/2019-79;Contrato e 1º Aditivo. Desc. SEI nº 10118893;00000004563831;10/09/2019;10/09/2019
CONTRATO;19/06/2019;53500.024612/2019-31;Datora Mobile Telecomunicacoes S.a.;18384930000151;Ora Serviços de Telecomunicações Ltda;22815345000136;VIGENTE;;Não identificado;00000004460136;28/08/2019;28/08/2019
CONTRATO;23/07/2019;53500.029064/2019-36;Datora Mobile Telecomunicacoes S.a.;18384930000151;DB3 Serviços de Telecomunicações LTDA (DB3 TELECOM);41644220000135;VIGENTE;;Não identificado;00000004640705;01/10/2019;01/10/2019
CONTRATO;02/10/2019;53500.039834/2019-59;Telexperts Telecomunicacoes S.A.;07625852000113;Fluke Telefonia Móvel Celular LTDA;31904610000143;VIGENTE;;Não identificado;00000004792679;04/11/2019;04/11/2019
CONTRATO;02/12/2019;53500.001132/2020-36;SURF TELECOM SA;10455746000143;Wantel Tecnologia Ltda - PPP;21850223000118;22/03/2023;53500.001132/2020-36;De acordo com comunicado SEI nº 10028140. Processo 53500.051611/2019-60 anexado.;00000005243988;21/02/2020;21/02/2020
CONTRATO;06/12/2019;53500.052686/2019-68;SURF TELECOM SA;10455746000143;Telbe Telecom Valinhos Ltda;27390934000133;21/01/2021;53500.023839/2020-01;De acordo com comunicado SEI nº 6457496;00000005334013;17/03/2020;17/03/2020
CONTRATO;16/12/2019;53500.054207/2019-48;Vero S.A.;31748174000160;Veek Tecnologia S/A;09526734000183;VIGENTE;;América Net incorporada pela Vero S.A.;00000005280176;10/03/2020;10/03/2020
CONTRATO;04/02/2020;53500.005039/2020-09;Datora Mobile Telecomunicacoes S.a.;18384930000151;Sow Telecomunicações LTDA;29424145000100;VIGENTE;;Não identificado;00000005369267;30/03/2020;30/03/2020
